,corr_with_win_percent
w,0.9029526777464492
fg_percent,0.7388142502318977
ppg,0.712328688935371
threepoint_fg_percent,0.6868915489868219
fgm,0.668774381516218
ast,0.63506297774365
dreb,0.4365593006330854
stl,0.3682298634232298
ft_percent,0.2926254060207379
reb,0.28279416126345064
ftm,0.2820756702305344
threepoint_fgm,0.19053874700345724
fta,0.18859814504875105
blk,0.15290924770643516
pfd,0.07163029006162566
gp,-0.0012590960585855888
fga,-0.01637282078877183
threepoint_fga,-0.07303694273648627
oreb,-0.158467021721528
tov,-0.33799928169046406
pf,-0.602898478342568
l,-0.9031757294685758
